[ 2024-12-10 11:45:03,192 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-10 11:45:04,366 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-10 11:45:04,366 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-10 11:45:04,366 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-10 11:45:04,440 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-10 11:45:04,440 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-10 11:45:04,445 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-10 11:45:04,469 ] 32 root - INFO - Required number of columns:2
[ 2024-12-10 11:45:04,469 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-10 11:45:04,470 ] 32 root - INFO - Required number of columns:2
[ 2024-12-10 11:45:04,470 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-10 11:45:04,624 ] 28 root - INFO - data Validation Completed
[ 2024-12-10 11:45:04,624 ] 31 root - INFO - data Transformation started
[ 2024-12-10 11:45:04,624 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-10 11:45:04,624 ] 65 root - INFO - Starting data transformation
[ 2024-12-10 11:45:04,652 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-10 11:45:04,653 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-10 11:45:04,665 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-10 11:45:04,666 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-10 11:45:04,667 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-10 11:45:04,668 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-10 11:45:04,668 ] 35 root - INFO - data Transformation completed
[ 2024-12-10 11:45:04,669 ] 37 root - INFO - Model Training sstared
[ 2024-12-10 11:48:51,738 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-10 11:48:51,739 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-10 11:48:51,740 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-10 11:48:51,771 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-10 11:48:51,771 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/12_10_2024_11_45_01/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9914495114006515), precision_score=np.float64(0.9894351889475823), recall_score=np.float64(0.9934720522235823)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9762282091917591), precision_score=np.float64(0.970843183609141), recall_score=np.float64(0.9816733067729083)))
[ 2024-12-10 11:48:51,775 ] 42 root - INFO - Model Training artifact created
