[ 2024-12-09 13:32:05,046 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-09 13:32:06,159 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-09 13:32:06,159 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-09 13:32:06,159 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-09 13:32:06,229 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-09 13:32:06,229 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-09 13:32:06,234 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-09 13:32:06,261 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:32:06,261 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:32:06,261 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:32:06,262 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:32:06,417 ] 28 root - INFO - data Validation Completed
[ 2024-12-09 13:32:06,417 ] 31 root - INFO - data Transformation started
[ 2024-12-09 13:32:06,417 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-09 13:32:06,417 ] 65 root - INFO - Starting data transformation
[ 2024-12-09 13:32:06,447 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-09 13:32:06,447 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-09 13:32:06,460 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:32:06,462 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:32:06,462 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:32:06,464 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:32:06,465 ] 35 root - INFO - data Transformation completed
[ 2024-12-09 13:32:06,465 ] 37 root - INFO - Model Training sstared
