[ 2024-12-09 13:49:13,859 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-09 13:49:14,921 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-09 13:49:14,921 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-09 13:49:14,921 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-09 13:49:15,003 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-09 13:49:15,003 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-09 13:49:15,008 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-09 13:49:15,037 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:49:15,037 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:49:15,037 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:49:15,037 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:49:15,189 ] 28 root - INFO - data Validation Completed
[ 2024-12-09 13:49:15,189 ] 31 root - INFO - data Transformation started
[ 2024-12-09 13:49:15,189 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-09 13:49:15,189 ] 65 root - INFO - Starting data transformation
[ 2024-12-09 13:49:15,222 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-09 13:49:15,222 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-09 13:49:15,235 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:49:15,236 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:49:15,236 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:49:15,238 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:49:15,238 ] 35 root - INFO - data Transformation completed
[ 2024-12-09 13:49:15,238 ] 37 root - INFO - Model Training sstared
[ 2024-12-09 13:52:34,562 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:52:34,563 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:52:34,563 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:52:34,612 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:52:34,612 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/12_09_2024_13_49_11/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9912352221769262), precision_score=np.float64(0.9904276985743381), recall_score=np.float64(0.9920440636474909)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9762282091917591), precision_score=np.float64(0.970843183609141), recall_score=np.float64(0.9816733067729083)))
[ 2024-12-09 13:52:34,618 ] 42 root - INFO - Model Training artifact created
