[ 2024-12-09 13:17:55,519 ] 20 root - INFO - Initiate the data ingestion
[ 2024-12-09 13:17:56,701 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-09 13:17:56,701 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-09 13:17:56,701 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-09 13:17:56,779 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-09 13:17:56,779 ] 22 root - INFO - Data Initiation Completed
[ 2024-12-09 13:17:56,784 ] 26 root - INFO - Initiate the data Validation
[ 2024-12-09 13:17:56,815 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:17:56,815 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:17:56,815 ] 32 root - INFO - Required number of columns:2
[ 2024-12-09 13:17:56,815 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-09 13:17:56,987 ] 28 root - INFO - data Validation Completed
[ 2024-12-09 13:17:56,987 ] 31 root - INFO - data Transformation started
[ 2024-12-09 13:17:56,987 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-09 13:17:56,987 ] 65 root - INFO - Starting data transformation
[ 2024-12-09 13:17:57,015 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-09 13:17:57,015 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-09 13:17:57,030 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:17:57,031 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:17:57,031 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-09 13:17:57,034 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-09 13:17:57,035 ] 35 root - INFO - data Transformation completed
[ 2024-12-09 13:17:57,036 ] 37 root - INFO - Model Training sstared
